total_loss	policy_loss	value_loss	entropy_loss	kl_divergence	
-1.972950	-1.972823	6.464624	0.000128	3420.049805	
-1.972950	-0.715534	-1.972823	-0.715464	6.464624	
8.196580	0.000128	0.000070	3420.049805	1319.928833	
-1.972950	-0.715534	-0.115926	-1.972823	-0.715464	
-0.115888	6.464624	8.196580	9.315663	0.000128	
0.000070	0.000038	3420.049805	1319.928833	33.070301	
-1.972950	-0.715534	-0.115926	-0.159002	-1.972823	
-0.715464	-0.115888	-0.158959	6.464624	8.196580	
9.315663	8.896541	0.000128	0.000070	0.000038	
0.000044	3420.049805	1319.928833	33.070301	203.305267	
-1.972950	-0.715534	-0.115926	-0.159002	-0.358916	
-1.972823	-0.715464	-0.115888	-0.158959	-0.358853	
6.464624	8.196580	9.315663	8.896541	7.790878	
0.000128	0.000070	0.000038	0.000044	0.000063	
3420.049805	1319.928833	33.070301	203.305267	764.911621	
-1.972950	-0.715534	-0.115926	-0.159002	-0.358916	
-1.190061	-1.972823	-0.715464	-0.115888	-0.158959	
-0.358853	-1.189952	6.464624	8.196580	9.315663	
8.896541	7.790878	5.620401	0.000128	0.000070	
0.000038	0.000044	0.000063	0.000108	3420.049805	
1319.928833	33.070301	203.305267	764.911621	565.644226	
-1.972950	-0.715534	-0.115926	-0.159002	-0.358916	
-1.190061	-1.628562	-1.972823	-0.715464	-0.115888	
-0.158959	-0.358853	-1.189952	-1.628433	6.464624	
8.196580	9.315663	8.896541	7.790878	5.620401	
4.377000	0.000128	0.000070	0.000038	0.000044	
0.000063	0.000108	0.000130	3420.049805	1319.928833	
33.070301	203.305267	764.911621	565.644226	73.392845	
-1.972950	-0.715534	-0.115926	-0.159002	-0.358916	
-1.190061	-1.628562	-1.758047	-1.972823	-0.715464	
-0.115888	-0.158959	-0.358853	-1.189952	-1.628433	
-1.757915	6.464624	8.196580	9.315663	8.896541	
7.790878	5.620401	4.377000	4.594779	0.000128	
0.000070	0.000038	0.000044	0.000063	0.000108	
0.000130	0.000132	3420.049805	1319.928833	33.070301	
203.305267	764.911621	565.644226	73.392845	19.874809	
-1.972950	-0.715534	-0.115926	-0.159002	-0.358916	
-1.190061	-1.628562	-1.758047	-1.689218	-1.972823	
-0.715464	-0.115888	-0.158959	-0.358853	-1.189952	
-1.628433	-1.757915	-1.689086	6.464624	8.196580	
9.315663	8.896541	7.790878	5.620401	4.377000	
4.594779	4.506995	0.000128	0.000070	0.000038	
0.000044	0.000063	0.000108	0.000130	0.000132	
0.000132	3420.049805	1319.928833	33.070301	203.305267	
764.911621	565.644226	73.392845	19.874809	4.412195	
-1.972950	-0.715534	-0.115926	-0.159002	-0.358916	
-1.190061	-1.628562	-1.758047	-1.689218	-1.683355	
-1.972823	-0.715464	-0.115888	-0.158959	-0.358853	
-1.189952	-1.628433	-1.757915	-1.689086	-1.683223	
6.464624	8.196580	9.315663	8.896541	7.790878	
5.620401	4.377000	4.594779	4.506995	4.492862	
0.000128	0.000070	0.000038	0.000044	0.000063	
0.000108	0.000130	0.000132	0.000132	0.000131	
3420.049805	1319.928833	33.070301	203.305267	764.911621	
565.644226	73.392845	19.874809	4.412195	3.858647	
-1.972950	-0.715534	-0.115926	-0.159002	-0.358916	
-1.190061	-1.628562	-1.758047	-1.689218	-1.683355	
-1.685847	-1.972823	-0.715464	-0.115888	-0.158959	
-0.358853	-1.189952	-1.628433	-1.757915	-1.689086	
-1.683223	-1.685716	6.464624	8.196580	9.315663	
8.896541	7.790878	5.620401	4.377000	4.594779	
4.506995	4.492862	4.637812	0.000128	0.000070	
0.000038	0.000044	0.000063	0.000108	0.000130	
0.000132	0.000132	0.000131	0.000131	3420.049805	
1319.928833	33.070301	203.305267	764.911621	565.644226	
73.392845	19.874809	4.412195	3.858647	3.706282	
-1.972950	-0.715534	-0.115926	-0.159002	-0.358916	
-1.190061	-1.628562	-1.758047	-1.689218	-1.683355	
-1.685847	-1.604160	-1.972823	-0.715464	-0.115888	
