total_loss	policy_loss	value_loss	entropy_loss	kl_divergence	
0.194742	0.196126	1.018188	0.001384	22.979683	
0.194742	1568329.875000	0.196126	1568329.875000	1.018188	
2003400523776.000000	0.001384	0.001381	22.979683	1367.191284	
0.194742	1568329.875000	-758.670044	0.196126	1568329.875000	
-758.669006	1.018188	2003400523776.000000	1147097.125000	0.001384	
0.001381	0.001013	22.979683	1367.191284	1921.394043	
0.194742	1568329.875000	-758.670044	-97.448547	0.196126	
1568329.875000	-758.669006	-97.448021	1.018188	2003400523776.000000	
1147097.125000	189737.031250	0.001384	0.001381	0.001013	
0.000526	22.979683	1367.191284	1921.394043	3949.283203	
0.194742	1568329.875000	-758.670044	-97.448547	-8055.606934	
0.196126	1568329.875000	-758.669006	-97.448021	-8055.606445	
1.018188	2003400523776.000000	1147097.125000	189737.031250	2115428096.000000	
0.001384	0.001381	0.001013	0.000526	0.000441	
22.979683	1367.191284	1921.394043	3949.283203	0.000000	
0.194742	1568329.875000	-758.670044	-97.448547	-8055.606934	
-0.676277	0.196126	1568329.875000	-758.669006	-97.448021	
-8055.606445	-0.676181	1.018188	2003400523776.000000	1147097.125000	
189737.031250	2115428096.000000	517649.062500	0.001384	0.001381	
0.001013	0.000526	0.000441	0.000096	22.979683	
1367.191284	1921.394043	3949.283203	0.000000	0.000000	
0.194742	1568329.875000	-758.670044	-97.448547	-8055.606934	
-0.676277	-0.191366	0.196126	1568329.875000	-758.669006	
-97.448021	-8055.606445	-0.676181	-0.191276	1.018188	
2003400523776.000000	1147097.125000	189737.031250	2115428096.000000	517649.062500	
180458.812500	0.001384	0.001381	0.001013	0.000526	
0.000441	0.000096	0.000090	22.979683	1367.191284	
1921.394043	3949.283203	0.000000	0.000000	0.000000	
0.194742	1568329.875000	-758.670044	-97.448547	-8055.606934	
-0.676277	-0.191366	0.217876	0.196126	1568329.875000	
-758.669006	-97.448021	-8055.606445	-0.676181	-0.191276	
0.217964	1.018188	2003400523776.000000	1147097.125000	189737.031250	
2115428096.000000	517649.062500	180458.812500	114765.171875	0.001384	
0.001381	0.001013	0.000526	0.000441	0.000096	
0.000090	0.000088	22.979683	1367.191284	1921.394043	
3949.283203	0.000000	0.000000	0.000000	0.000000	
0.194742	1568329.875000	-758.670044	-97.448547	-8055.606934	
-0.676277	-0.191366	0.217876	0.233925	0.196126	
1568329.875000	-758.669006	-97.448021	-8055.606445	-0.676181	
-0.191276	0.217964	0.234010	1.018188	2003400523776.000000	
1147097.125000	189737.031250	2115428096.000000	517649.062500	180458.812500	
114765.171875	6636.944824	0.001384	0.001381	0.001013	
0.000526	0.000441	0.000096	0.000090	0.000088	
0.000085	22.979683	1367.191284	1921.394043	3949.283203	
0.000000	0.000000	0.000000	0.000000	0.000000	
0.194742	1568329.875000	-758.670044	-97.448547	-8055.606934	
-0.676277	-0.191366	0.217876	0.233925	0.082741	
0.196126	1568329.875000	-758.669006	-97.448021	-8055.606445	
-0.676181	-0.191276	0.217964	0.234010	0.082819	
1.018188	2003400523776.000000	1147097.125000	189737.031250	2115428096.000000	
517649.062500	180458.812500	114765.171875	6636.944824	35248.644531	
0.001384	0.001381	0.001013	0.000526	0.000441	
0.000096	0.000090	0.000088	0.000085	0.000078	
22.979683	1367.191284	1921.394043	3949.283203	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	
0.194742	1568329.875000	-758.670044	-97.448547	-8055.606934	
-0.676277	-0.191366	0.217876	0.233925	0.082741	
-0.593512	0.196126	1568329.875000	-758.669006	-97.448021	
-8055.606445	-0.676181	-0.191276	0.217964	0.234010	
0.082819	-0.593444	1.018188	2003400523776.000000	1147097.125000	
189737.031250	2115428096.000000	517649.062500	180458.812500	114765.171875	
6636.944824	35248.644531	85276696.000000	0.001384	0.001381	
0.001013	0.000526	0.000441	0.000096	0.000090	
0.000088	0.000085	0.000078	0.000068	22.979683	
1367.191284	1921.394043	3949.283203	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	
0.194742	1568329.875000	-758.670044	-97.448547	-8055.606934	
-0.676277	-0.191366	0.217876	0.233925	0.082741	
-0.593512	0.589927	0.196126	1568329.875000	-758.669006	
-97.448021	-8055.606445	-0.676181	-0.191276	0.217964	
0.234010	0.082819	-0.593444	0.589982	1.018188	
2003400523776.000000	1147097.125000	189737.031250	2115428096.000000	517649.062500	
180458.812500	114765.171875	6636.944824	35248.644531	85276696.000000	
3811631.000000	0.001384	0.001381	0.001013	0.000526	
