total_loss	policy_loss	value_loss	entropy_loss	kl_divergence	
-0.156080	-0.155942	1.011920	0.000138	23.733398	
-0.156080	-0.160959	-0.155942	-0.160821	1.011920	
1.011821	0.000138	0.000137	23.733398	271.800476	
-0.156080	-0.160959	-0.151122	-0.155942	-0.160821	
-0.150988	1.011920	1.011821	1.010798	0.000138	
0.000137	0.000134	23.733398	271.800476	11066.542969	
-0.156080	-0.160959	-0.151122	0.115509	-0.155942	
-0.160821	-0.150988	0.115544	1.011920	1.011821	
1.010798	1.011824	0.000138	0.000137	0.000134	
0.000035	23.733398	271.800476	11066.542969	1811.576782	
-0.156080	-0.160959	-0.151122	0.115509	0.084555	
-0.155942	-0.160821	-0.150988	0.115544	0.084661	
1.011920	1.011821	1.010798	1.011824	1.008854	
0.000138	0.000137	0.000134	0.000035	0.000106	
23.733398	271.800476	11066.542969	1811.576782	1485.148193	
-0.156080	-0.160959	-0.151122	0.115509	0.084555	
-0.146206	-0.155942	-0.160821	-0.150988	0.115544	
0.084661	-0.146074	1.011920	1.011821	1.010798	
1.011824	1.008854	1.010608	0.000138	0.000137	
0.000134	0.000035	0.000106	0.000132	23.733398	
271.800476	11066.542969	1811.576782	1485.148193	10.254101	
-0.156080	-0.160959	-0.151122	0.115509	0.084555	
-0.146206	-0.148638	-0.155942	-0.160821	-0.150988	
0.115544	0.084661	-0.146074	-0.148504	1.011920	
1.011821	1.010798	1.011824	1.008854	1.010608	
1.010738	0.000138	0.000137	0.000134	0.000035	
0.000106	0.000132	0.000133	23.733398	271.800476	
11066.542969	1811.576782	1485.148193	10.254101	4.284297	
-0.156080	-0.160959	-0.151122	0.115509	0.084555	
-0.146206	-0.148638	-0.149949	-0.155942	-0.160821	
-0.150988	0.115544	0.084661	-0.146074	-0.148504	
-0.149816	1.011920	1.011821	1.010798	1.011824	
1.008854	1.010608	1.010738	1.010441	0.000138	
0.000137	0.000134	0.000035	0.000106	0.000132	
0.000133	0.000133	23.733398	271.800476	11066.542969	
1811.576782	1485.148193	10.254101	4.284297	11.780069	
-0.156080	-0.160959	-0.151122	0.115509	0.084555	
-0.146206	-0.148638	-0.149949	-0.141102	-0.155942	
-0.160821	-0.150988	0.115544	0.084661	-0.146074	
-0.148504	-0.149816	-0.140970	1.011920	1.011821	
1.010798	1.011824	1.008854	1.010608	1.010738	
1.010441	1.010019	0.000138	0.000137	0.000134	
